logFC	AveExpr	t	P.Value	adj.P.Val	B	Significance	ID
RABEP1	-1.40327002984171	7.25965820278465	-23.3869209714946	1.4797275260864e-96	4.92157375176335e-94	209.370510510065	Downregulated	RABEP1
KDM4B	-1.52330254706173	6.89855175807029	-23.3845763079861	1.53291837864547e-96	4.98764986373624e-94	209.336848596251	Downregulated	KDM4B
LOC145837	-4.02224759288546	0.871253986464673	-23.4046136167871	1.13353226634089e-96	3.85581305234638e-94	209.315145089261	Downregulated	LOC145837
MSL3	0.789763008056127	4.89696686098008	23.3098081357547	4.72471634932446e-96	1.50457084256041e-93	208.256552714494	Not Significant	MSL3
FLJ45983	-4.68719104436851	2.38527310275861	-23.2793146096609	7.47521283207837e-96	2.33086480120244e-93	207.729439468714	Downregulated	FLJ45983
RERG	-2.51361171578394	5.50071213685939	-23.2358318535887	1.43752369604934e-95	4.39090146097356e-93	207.149436227919	Downregulated	RERG
CELSR1	-1.99798693708077	7.4240346978757	-23.2201879122343	1.81865458624714e-95	5.4439606384722e-93	206.87097628904	Downregulated	CELSR1
PPP1R14C	4.06182895996688	0.60048360527155	23.2141601540536	1.99112527150992e-95	5.84336704680177e-93	206.725141799548	Upregulated	PPP1R14C
MAPT	-3.6602251113898	5.79334013504431	-23.1669496476147	4.04743472220618e-95	1.1649606824473e-92	206.127992515527	Downregulated	MAPT
GFRA1	-5.17503863023918	6.56497404141925	-23.1474357210002	5.42585932378673e-95	1.53224219809653e-92	205.848775244707	Downregulated	GFRA1
INPP4B	-2.42373869347181	4.3834630522672	-23.1452964719487	5.60300329262321e-95	1.55296574593873e-92	205.832496473179	Downregulated	INPP4B
SIDT1	-2.58467380429944	4.67046184021926	-23.0609836396392	1.98616312999741e-94	5.30837563690557e-92	204.562903464993	Downregulated	SIDT1
CMBL	-2.17860495531621	5.86153683179818	-23.0617332742664	1.96395264555915e-94	5.30837563690557e-92	204.524637350905	Downregulated	CMBL
CCNE1	2.33689720603302	2.03975552126063	23.0243103797961	3.4425923107338e-94	9.03952265171101e-92	204.009403518172	Upregulated	CCNE1
FAM47E	-2.23175179022338	1.95667078466109	-22.9597200437074	9.06398562620142e-94	2.3389771184027e-91	202.988277183104	Downregulated	FAM47E
AGR3	-8.14210386303955	4.44918569914133	-22.9093241661112	1.92802463965065e-93	4.89097369180531e-91	202.160920251895	Downregulated	AGR3
TTC8	-1.05786723748806	4.81185754778433	-22.6431115594164	1.03042767426456e-91	2.5282640984783e-89	198.304719315216	Downregulated	TTC8
RHOB	-1.52350166719542	8.62806754488146	-22.6351765842411	1.15991307034964e-91	2.80006756837468e-89	198.136269979135	Downregulated	RHOB
DYNLRB2	-2.91305066323448	-0.395603476031816	-22.6513884194119	9.10727934386047e-92	2.27181083232599e-89	197.754213450852	Downregulated	DYNLRB2
C9orf116	-1.96579537906835	2.79486833071497	-22.5819166657651	2.56644605413323e-91	6.09714255431937e-89	197.443648821298	Downregulated	C9orf116
BCL11A	3.48527158850859	1.05551696842036	22.5163735219867	6.81449375048192e-91	1.59363324942911e-88	196.397407045788	Upregulated	BCL11A
RALGPS2	-1.96472344375021	5.54788440268657	-22.3673554263104	6.25470393672735e-90	1.44021775109228e-87	194.188936770957	Downregulated	RALGPS2
DACH1	-3.85036556933278	3.68391690756906	-22.3525342200693	7.795629835696e-90	1.76783623864942e-87	194.052231206301	Downregulated	DACH1
CCDC125	-1.26234122160667	4.80338987563059	-22.3348550820402	1.01370535372075e-89	2.23119529840272e-87	193.73277386218	Downregulated	CCDC125
A2ML1	5.67196349252894	-1.36295298746259	22.336193591135	9.93749902501283e-90	2.21991862548309e-87	193.328157219309	Upregulated	A2ML1
APBB2	-1.34202038063976	6.6808655016405	-22.2939311121072	1.86135338058609e-89	4.03751826771478e-87	193.062222370246	Downregulated	APBB2
P4HTM	-1.48568611917126	5.15070957955785	-22.2833024683554	2.17944957547948e-89	4.59434109805653e-87	192.953710471449	Downregulated	P4HTM
VGLL1	5.71165472574091	-1.26540927361963	22.2900762377373	1.97097296993884e-89	4.21422177729638e-87	192.707073684203	Upregulated	VGLL1
C11orf75	1.48370436196772	3.34092803150766	22.2237541480687	5.27266642093104e-89	1.09605553225104e-86	192.14352342349	Upregulated	C11orf75
CDK2AP1	1.16835955199897	7.16470376959603	22.193519572381	8.25486193977186e-89	1.69247285825432e-86	191.570980401913	Upregulated	CDK2AP1
CACNA2D2	-2.9987576732257	3.24090039994261	-22.159238025467	1.37196197380147e-88	2.77488579214683e-86	191.1951407544	Downregulated	CACNA2D2
INPP5J	-2.5287025707273	4.30013958241696	-22.0739588607131	4.8495224355392e-88	9.67770697236203e-86	189.915732355681	Downregulated	INPP5J
FOXC1	2.77441070825538	3.28775158305025	22.0661730949907	5.44161054777093e-88	1.07163927721694e-85	189.816826506177	Upregulated	FOXC1
ANKRA2	-0.939075734612431	3.82929731144358	-21.9943440983557	1.5739655748855e-87	3.02019778965529e-85	188.748125846491	Not Significant	ANKRA2
SYTL4	-1.67793740285616	4.7051578418263	-21.9911971998606	1.64889218168875e-87	3.12392016244754e-85	188.661774796175	Downregulated	SYTL4
WFS1	-1.25495641801905	6.47609143795451	-21.9957882521578	1.54072885619671e-87	2.99481672606443e-85	188.658791782397	Downregulated	WFS1
C10orf32	-0.97466813343159	4.90128811434485	-21.9473080615029	3.15336514853722e-87	5.89955202226957e-85	187.999272797731	Not Significant	C10orf32
C6orf211	-2.04334414802497	6.33028522651377	-21.8150930740131	2.21756039611209e-86	4.09755882081601e-84	186.014315085321	Downregulated	C6orf211
PADI2	2.65588505036369	5.31267229821973	21.7433769325781	6.37711804253049e-86	1.16397958222627e-83	184.983992377378	Upregulated	PADI2
NUDT12	-1.58275663489588	4.35867493324298	-21.7056373880993	1.11128090352388e-85	1.98006443845738e-83	184.484834258862	Downregulated	NUDT12
C16orf57	0.936390884023427	5.21411172583327	21.7064411454275	1.09821768046974e-85	1.98006443845738e-83	184.43336527179	Not Significant	C16orf57
GAMT	-2.25939500281704	4.28844886682753	-21.6800617315156	1.61882126662415e-85	2.85045857618396e-83	184.119346401507	Downregulated	GAMT
